カテゴリー,商品番号,商品名,在庫総数,店舗内在庫,倉庫内在庫,納品待ち,発注閾値,insert_master,insert_total_db
supplements,001-283948,BCAA タブレット,50 ,20 ,30 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-283948','supplements','BCAA タブレット', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-283948', 'supplements', 'BCAA タブレット', 50, 20, 30, 0, 30, sysdate())"
supplements,001-283949,BCAA パウダー,80 ,40 ,40 ,0 ,60 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('001-283949','supplements','BCAA パウダー', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('001-283949', 'supplements', 'BCAA パウダー', 80, 40, 40, 0, 60, sysdate())"
clothes,002-696966,プーマ ソックス レッド,50 ,40 ,10 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-696966','clothes','プーマ ソックス レッド', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-696966', 'clothes', 'プーマ ソックス レッド', 50, 40, 10, 0, 30, sysdate())"
clothes,002-696967,プーマ ソックス ブラック,40 ,20 ,20 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-696967','clothes','プーマ ソックス ブラック', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-696967', 'clothes', 'プーマ ソックス ブラック', 40, 20, 20, 0, 30, sysdate())"
clothes,002-696968,プーマ ソックス ホワイト,50 ,45 ,5 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-696968','clothes','プーマ ソックス ホワイト', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-696968', 'clothes', 'プーマ ソックス ホワイト', 50, 45, 5, 0, 30, sysdate())"
clothes,002-696969,プーマ ソックス ブルー,60 ,20 ,40 ,0 ,40 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-696969','clothes','プーマ ソックス ブルー', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-696969', 'clothes', 'プーマ ソックス ブルー', 60, 20, 40, 0, 40, sysdate())"
clothes,002-696970,プーマ ソックス ブラウン,30 ,10 ,20 ,0 ,15 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('002-696970','clothes','プーマ ソックス ブラウン', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('002-696970', 'clothes', 'プーマ ソックス ブラウン', 30, 10, 20, 0, 15, sysdate())"
equipment,003-008292,リストラップ,10 ,2 ,8 ,0 ,5 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('003-008292','equipment','リストラップ', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('003-008292', 'equipment', 'リストラップ', 10, 2, 8, 0, 5, sysdate())"
equipment,003-008293,エルボーサポーター S,15 ,7 ,8 ,0 ,8 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('003-008293','equipment','エルボーサポーター S', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('003-008293', 'equipment', 'エルボーサポーター S', 15, 7, 8, 0, 8, sysdate())"
equipment,003-008294,エルボーサポーター M,15 ,5 ,10 ,0 ,8 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('003-008294','equipment','エルボーサポーター M', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('003-008294', 'equipment', 'エルボーサポーター M', 15, 5, 10, 0, 8, sysdate())"
equipment,003-008295,エルボーサポーター L,15 ,10 ,5 ,0 ,8 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('003-008295','equipment','エルボーサポーター L', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('003-008295', 'equipment', 'エルボーサポーター L', 15, 10, 5, 0, 8, sysdate())"
books,004-410941,タンパク質のすべて 前編,55 ,30 ,25 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-410941','books','タンパク質のすべて 前編', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-410941', 'books', 'タンパク質のすべて 前編', 55, 30, 25, 0, 30, sysdate())"
books,004-410942,タンパク質のすべて 中編,55 ,30 ,25 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-410942','books','タンパク質のすべて 中編', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-410942', 'books', 'タンパク質のすべて 中編', 55, 30, 25, 0, 30, sysdate())"
books,004-410943,タンパク質のすべて 後編,55 ,30 ,25 ,0 ,30 ,"INSERT INTO product_num_master(model_num, category, product_name, indate) VALUE ('004-410943','books','タンパク質のすべて 後編', sysdate())","INSERT INTO total_db(model_num, category, product_name, total_amount, shop_amount, warehouse_amount, waiting_amount, threshold, indate) VALUE ('004-410943', 'books', 'タンパク質のすべて 後編', 55, 30, 25, 0, 30, sysdate())"
